second,rss_mb,history_kb,llm_in_flight,tool_inflight,done,failed,cancelled
233,1098,132020,986,0,0,0,0
234,1097,129557,991,2,0,0,0
235,1098,129621,992,1,0,0,0
236,1026,125333,988,0,0,0,0
237,1022,124821,990,0,0,0,0
238,1028,123541,992,0,0,0,0
239,1029,122582,992,0,0,0,0
240,1030,120406,988,1,0,0,0
241,957,119863,993,0,0,0,0
242,972,116375,948,0,0,0,0
243,975,116151,987,0,0,0,0
244,975,113463,995,0,0,0,0
245,907,111191,990,2,0,0,0
246,743,89466,987,8,0,0,0
247,743,89466,987,8,0,0,0
248,743,89498,986,1,0,0,0
249,743,89498,986,1,0,0,0
250,743,89498,986,1,0,0,0
251,743,89498,986,1,0,0,0
252,743,89498,986,0,0,0,0
253,743,89498,986,0,0,0,0
254,743,89498,986,0,0,0,0
255,743,89498,986,0,0,0,0
256,743,89530,987,0,0,0,0
257,744,89530,987,0,0,0,0
258,744,89530,987,0,0,0,0
259,744,89530,987,0,0,0,0
260,744,89530,987,0,0,0,0
261,744,89530,987,0,0,0,0
262,744,89562,987,1,0,0,0
263,744,90266,997,0,0,0,0
264,669,87934,923,1,0,0,0
265,688,89849,990,3,0,0,0
266,702,90457,992,0,0,0,0
267,712,90713,988,4,0,0,0
268,725,91705,991,0,0,0,0
269,733,93369,991,0,0,0,0
270,739,93497,992,2,0,0,0
271,747,94585,993,3,0,0,0
272,752,94873,992,1,0,0,0
273,760,95929,993,1,0,0,0
274,762,96347,960,4,0,0,0
275,764,96763,942,1,0,0,0
276,775,99257,993,4,0,0,0
277,785,99449,990,2,0,0,0
278,787,98809,985,0,0,0,0
279,789,96515,822,0,0,0,0
280,782,94480,614,0,0,0,0
281,600,91431,253,0,0,0,0
282,594,94216,255,12,0,0,0
283,612,97028,328,1,0,0,0
284,654,102393,485,1,0,0,0
285,692,106068,566,1,0,0,0
286,726,109774,644,13,0,0,0
287,769,114568,743,1,0,0,0
288,806,118146,817,13,0,0,0
289,836,121182,887,1,0,0,0
290,882,125687,990,0,0,0,0
291,901,127062,997,0,0,0,0
292,910,124799,833,0,0,0,0
293,907,121746,547,0,0,0,0
294,903,119458,296,0,0,0,0
295,903,120038,241,13,0,0,0
296,904,120519,214,1,0,0,0
297,904,122568,208,1,0,0,0
298,906,124580,275,13,0,0,0
299,904,126592,327,13,0,0,0
300,907,130044,394,1,0,0,0
301,911,134644,514,1,0,0,0
302,915,132888,422,1,0,0,0
303,912,135157,485,1,0,0,0
304,917,136755,518,1,0,0,0
305,944,139631,581,6,0,0,0
306,959,140237,606,12,0,0,0
307,972,141929,664,1,0,0,0
308,1011,145731,760,1,0,0,0
309,1017,146019,763,5,0,0,0
310,1047,148415,819,1,0,0,0
311,1083,149947,863,1,0,0,0
312,1085,150170,875,1,0,0,0
313,1108,151991,935,1,0,0,0
314,1132,153299,987,0,0,0,0
315,1178,148003,718,0,0,0,0
316,1178,148003,718,0,0,0,0
317,1178,148003,718,0,0,0,0
318,1179,148003,718,0,0,0,0
319,1179,148003,718,0,0,0,0
320,1179,148003,718,0,0,0,0
321,1179,148003,718,0,0,0,0
322,1179,148003,718,0,0,0,0
323,1178,146471,663,0,0,0,0
324,1173,142134,434,0,0,0,0
325,1172,140347,353,0,0,0,0
326,1166,140092,360,13,0,0,0
327,1164,141851,390,1,0,0,0
328,1165,143897,400,8,0,0,0
329,1162,146741,466,1,0,0,0
330,1163,146676,480,13,0,0,0
331,1162,148465,523,1,0,0,0
332,1165,149805,586,11,0,0,0
333,1164,153415,697,6,0,0,0
334,1164,153415,697,6,0,0,0
335,1166,155427,745,1,0,0,0
336,1181,158109,827,13,0,0,0
337,1191,157468,831,1,0,0,0
338,1207,158937,882,13,0,0,0
339,1205,158936,892,1,0,0,0
340,1233,161749,938,3,0,0,0
341,1233,161749,938,3,0,0,0
342,1237,162069,953,1,0,0,0
343,1254,162482,992,3,0,0,0
344,1260,162258,992,0,0,0,0
345,1269,160209,991,0,0,0,0
346,1265,159890,993,0,0,0,0
347,1267,159154,991,0,0,0,0
348,1263,158450,991,0,0,0,0
349,1265,155474,990,1,0,0,0
350,1265,155218,989,1,0,0,0
351,1264,155058,992,2,0,0,0
352,1264,154899,994,0,0,0,0
353,1267,153202,991,0,0,0,0
354,1267,151506,991,0,0,0,0
355,1268,150003,988,0,0,0,0
356,1264,150452,987,0,0,0,0
357,1265,149107,991,1,0,0,0
358,1265,148851,993,1,0,0,0
359,1262,147827,989,0,0,0,0
360,1263,146260,994,0,0,0,0
361,1263,146292,994,1,0,0,0
362,1265,145395,990,0,0,0,0
363,1262,141620,990,3,0,0,0
364,1111,140084,986,2,0,0,0
365,1111,140084,986,2,0,0,0
366,1113,139477,990,0,0,0,0
367,1121,139028,990,2,0,0,0
368,1120,138836,992,2,0,0,0
369,1128,135828,988,0,0,0,0
370,1128,134132,988,0,0,0,0
371,1130,133268,988,0,0,0,0
372,1047,132213,992,0,0,0,0
373,1048,130517,992,0,0,0,0
374,1058,128213,990,0,0,0,0
375,1054,127702,990,0,0,0,0
376,1056,126037,990,2,0,0,0
377,1058,126197,990,0,0,0,0
378,1060,125590,992,1,0,0,0
379,979,123957,991,1,0,0,0
380,982,123094,995,2,0,0,0
381,987,123190,994,1,0,0,0
382,996,122294,991,1,0,0,0
383,1001,120886,990,0,0,0,0
384,996,119542,992,0,0,0,0
385,996,118167,988,1,0,0,0
386,915,117014,991,0,0,0,0
387,929,114903,988,1,0,0,0
388,931,115031,993,1,0,0,0
389,936,112823,990,2,0,0,0
390,938,110455,986,1,0,0,0
391,943,110327,989,0,0,0,0
392,870,109687,991,0,0,0,0
393,876,107383,991,2,0,0,0
394,876,107127,990,2,0,0,0
395,879,106264,992,0,0,0,0
396,878,105527,992,0,0,0,0
397,884,104984,994,0,0,0,0
398,805,104984,994,0,0,0,0
399,826,103863,986,0,0,0,0
400,782,100765,921,1,0,0,0
401,782,100797,922,1,0,0,0
402,784,100988,932,8,0,0,0
403,797,102138,961,1,0,0,0
404,814,101368,990,0,0,0,0
405,819,101144,990,2,0,0,0
406,822,101369,993,2,0,0,0
407,831,102712,994,0,0,0,0
408,838,104025,987,5,0,0,0
409,843,103896,992,0,0,0,0
410,844,104472,992,3,0,0,0
411,852,105208,993,0,0,0,0
412,857,105560,989,0,0,0,0
413,863,107000,993,1,0,0,0
414,871,107319,986,0,0,0,0
415,873,104161,837,0,0,0,0
416,869,105156,813,1,0,0,0
417,872,106208,855,1,0,0,0
418,871,108284,924,1,0,0,0
419,890,110712,990,4,0,0,0
420,906,113815,996,0,0,0,0
421,916,115095,993,2,0,0,0
422,919,115095,991,4,0,0,0
423,929,116951,993,1,0,0,0
424,938,117686,992,1,0,0,0
425,940,119191,990,4,0,0,0
426,945,119799,995,1,0,0,0
427,948,120695,996,0,0,0,0
428,962,123190,993,4,0,0,0
429,970,124183,973,0,0,0,0
430,973,122145,810,1,0,0,0
431,971,123454,859,1,0,0,0
432,983,127897,950,3,0,0,0
433,991,126940,877,1,0,0,0
434,988,127898,924,1,0,0,0
435,998,129622,975,2,0,0,0
436,1008,126943,822,0,0,0,0
437,1003,125068,624,1,0,0,0
438,998,127499,663,1,0,0,0
439,1000,129703,716,1,0,0,0
440,996,133634,797,13,0,0,0
441,1003,134816,828,1,0,0,0
442,1025,136730,904,1,0,0,0
443,1050,140086,978,1,0,0,0
444,1053,141525,994,1,0,0,0
445,1070,142324,992,3,0,0,0
446,1074,142292,995,0,0,0,0
447,1078,143156,993,0,0,0,0
448,1082,143252,991,6,0,0,0
449,1086,143764,992,0,0,0,0
450,1093,142932,994,0,0,0,0
451,1090,143956,996,0,0,0,0
452,1096,144372,992,1,0,0,0
453,1102,145268,995,1,0,0,0
454,1111,146868,989,0,0,0,0
455,1126,147028,993,2,0,0,0
456,1130,147603,993,2,0,0,0
457,1136,147475,993,0,0,0,0
458,1142,147411,991,1,0,0,0
459,1140,146168,898,2,0,0,0
460,1144,147669,953,0,0,0,0
461,1139,146203,846,2,0,0,0
462,1143,146969,872,0,0,0,0
463,1156,150387,987,1,0,0,0
464,1160,149907,992,2,0,0,0
465,1164,149043,992,1,0,0,0
466,1164,149715,995,0,0,0,0
467,1164,146103,884,0,0,0,0
468,1162,148181,930,2,0,0,0
469,1169,149524,989,7,0,0,0
470,1177,148755,992,2,0,0,0
471,1181,146611,991,1,0,0,0
472,1178,145843,985,6,0,0,0
473,1184,143541,931,4,0,0,0
474,1174,139898,811,0,0,0,0
475,1174,140374,889,1,0,0,0
476,1178,140951,922,1,0,0,0
477,1174,142036,992,3,0,0,0
478,1171,141332,991,2,0,0,0
479,1171,140756,994,1,0,0,0
480,1171,139477,987,1,0,0,0
481,1170,139317,988,6,0,0,0
482,1172,138196,986,0,0,0,0
483,1172,138101,992,1,0,0,0
484,1174,137875,988,0,0,0,0
485,1168,138004,988,1,0,0,0
486,1169,137524,993,1,0,0,0
487,1170,137237,988,7,0,0,0
488,1170,137076,991,2,0,0,0
489,1171,136052,994,0,0,0,0
490,1053,135093,990,0,0,0,0
491,1060,134197,991,3,0,0,0
492,1066,130102,993,5,0,0,0
493,1066,130102,993,5,0,0,0
494,1066,130102,993,5,0,0,0
495,1066,130102,993,5,0,0,0
496,1066,130102,993,5,0,0,0
497,1073,129237,991,0,0,0,0
498,1069,127189,990,1,0,0,0
499,990,125974,987,0,0,0,0
500,990,125974,986,1,0,0,0
501,991,125398,992,1,0,0,0
502,999,122294,988,0,0,0,0
503,1001,122231,991,4,0,0,0
504,1001,122231,989,0,0,0,0
505,1001,122231,989,0,0,0,0
506,1008,121846,989,0,0,0,0
507,1005,119637,988,0,0,0,0
508,931,119574,990,1,0,0,0
509,949,119510,987,0,0,0,0
510,951,119030,989,0,0,0,0
511,955,116566,986,0,0,0,0
512,952,115479,991,1,0,0,0
513,952,114839,994,1,0,0,0
514,958,114678,990,2,0,0,0
515,963,113911,989,0,0,0,0
516,964,113047,987,1,0,0,0
517,879,112695,992,0,0,0,0
518,925,112822,988,1,0,0,0
519,925,112822,988,1,0,0,0
520,925,112822,988,1,0,0,0
521,925,112822,988,1,0,0,0
522,925,112822,988,0,0,0,0
523,925,112822,988,0,0,0,0
524,925,112822,988,0,0,0,0
525,925,112822,988,0,0,0,0
526,925,112822,988,0,0,0,0
527,925,112822,988,0,0,0,0
528,925,112822,988,0,0,0,0
529,925,112822,988,0,0,0,0
530,925,112822,988,0,0,0,0
531,925,112822,988,0,0,0,0
532,926,112822,988,0,0,0,0
533,926,112822,988,0,0,0,0
534,926,112822,988,0,0,0,0
535,922,112535,992,1,0,0,0
536,925,113047,990,3,0,0,0
537,925,112599,990,0,0,0,0
538,929,112759,991,0,0,0,0
539,929,113463,993,2,0,0,0
540,932,113879,994,2,0,0,0
541,935,114359,989,0,0,0,0
542,939,115063,993,1,0,0,0
543,916,113572,779,0,0,0,0
544,915,113572,779,0,0,0,0
545,915,113572,779,0,0,0,0
546,914,113572,779,0,0,0,0
547,913,113572,779,0,0,0,0
548,828,111017,723,0,0,0,0
549,828,111017,723,0,0,0,0
550,828,111017,723,0,0,0,0
551,769,108206,619,0,0,0,0
552,780,106162,550,0,0,0,0
553,686,101824,324,0,4005,0,0
554,640,100293,229,0,4017,0,0
555,665,98887,162,1,4024,0,0
556,685,101603,208,1,4032,0,0
557,709,103935,260,4,4034,0,0
558,728,106298,321,2,4037,0,0
559,748,108757,384,1,4040,0,0
560,779,113007,462,2,4043,0,0
561,794,114252,482,1,4047,0,0
562,816,116744,542,1,4047,0,0
563,817,118278,560,1,4054,0,0
564,852,122109,667,3,4061,0,0
565,881,124409,720,1,4062,0,0
566,909,126963,798,13,4068,0,0
567,919,127920,829,3,4072,0,0
568,951,130985,917,0,4078,0,0
569,971,132936,908,3,4082,0,0
570,994,133894,906,1,4085,0,0
571,1000,134182,903,2,4085,0,0
572,1004,135525,902,1,4091,0,0
573,1009,135652,888,2,4104,0,0
574,1012,134882,874,5,4116,0,0
575,1020,135041,869,3,4122,0,0
576,1017,135135,864,0,4131,0,0
577,1019,135070,848,7,4140,0,0
578,1023,133859,748,1,4149,0,0
579,1021,136317,816,1,4155,0,0
580,1036,136282,833,0,4159,0,0
581,1039,135993,829,0,4164,0,0
582,1039,136920,817,1,4174,0,0
583,1047,138007,819,0,4179,0,0
584,1054,136886,803,3,4191,0,0
585,1054,136276,793,2,4199,0,0
586,1057,136851,787,1,4206,0,0
587,1064,136914,781,2,4214,0,0
588,1071,136080,766,0,4223,0,0
589,1072,134926,758,3,4231,0,0
590,1075,133772,747,1,4244,0,0
591,1075,134923,739,1,4256,0,0
592,1086,135722,734,1,4261,0,0
593,1088,135241,725,2,4268,0,0
594,1091,133703,715,0,4278,0,0
595,1092,131397,703,0,4289,0,0
596,1095,130148,689,0,4301,0,0
597,1092,129858,679,4,4313,0,0
598,1092,128096,667,0,4327,0,0
599,1090,126686,656,0,4336,0,0
600,973,120352,520,0,4363,0,0
601,973,120352,520,0,4363,0,0
602,975,120095,519,1,4371,0,0
603,990,120700,542,1,4379,0,0
604,994,121817,573,1,4389,0,0
605,1011,122038,600,2,4392,0,0
606,1011,121076,592,1,4402,0,0
607,1014,118386,572,0,4416,0,0
608,1015,114255,552,2,4440,0,0
609,917,112589,540,2,4453,0,0
610,921,111884,537,1,4455,0,0
611,928,107689,511,0,4479,0,0
612,927,106792,509,0,4484,0,0
613,935,105895,496,0,4490,0,0
614,932,105318,493,0,4496,0,0
615,851,104549,490,1,4504,0,0
616,875,99394,461,5,4523,0,0
617,872,98177,455,0,4533,0,0
618,814,95326,443,1,4546,0,0
619,815,94045,435,1,4555,0,0
620,817,91772,420,4,4567,0,0
621,773,89594,406,2,4583,0,0
622,772,88184,401,0,4589,0,0
623,781,86071,391,0,4601,0,0
624,729,80787,364,0,4626,0,0
625,729,80787,364,0,4626,0,0
626,676,77072,344,2,4646,0,0
627,691,73806,327,1,4664,0,0
628,642,68650,299,0,4690,0,0
629,643,68650,299,0,4690,0,0
630,600,66697,289,3,4697,0,0
631,571,59940,261,0,4729,0,0
632,571,59940,261,0,4729,0,0
633,541,56930,248,0,4743,0,0
634,505,51071,222,1,4769,0,0
635,481,50046,218,0,4772,0,0
636,490,47388,206,0,4783,0,0
637,453,44026,188,0,4803,0,0
638,416,43610,188,0,4805,0,0
639,395,39927,166,4,4822,0,0
640,337,30994,130,1,4861,0,0
641,337,30994,130,1,4861,0,0
642,319,28688,121,0,4872,0,0
643,269,22925,95,0,4894,0,0
644,220,16585,67,0,4924,0,0
645,220,16585,67,0,4924,0,0
646,169,11270,45,0,4944,0,0
647,113,4034,16,0,4973,0,0
648,77,1792,7,0,4986,0,0
649,53,0,0,0,4995,0,0
650,37,0,0,0,5000,0,0
