second,rss_mb,history_kb,llm_in_flight,tool_inflight,done,failed,cancelled
307,598,151671,908,0,0,0,0
308,612,152277,951,0,0,0,0
309,621,152917,975,1,0,0,0
310,630,154387,999,0,0,0,0
311,631,154452,993,4,0,0,0
312,634,155155,998,0,0,0,0
313,636,152728,931,0,0,0,0
314,553,149663,824,0,0,0,0
315,531,147203,765,10,0,0,0
316,544,148577,789,1,0,0,0
317,568,150142,842,1,0,0,0
318,577,149755,867,1,0,0,0
319,602,152535,943,1,0,0,0
320,614,153460,985,1,0,0,0
321,623,153715,998,1,0,0,0
322,624,152724,981,1,0,0,0
323,625,152436,997,2,0,0,0
324,626,152211,995,0,0,0,0
325,629,153236,997,2,0,0,0
326,630,150708,996,2,0,0,0
327,631,151060,997,0,0,0,0
328,633,150292,995,2,0,0,0
329,634,149556,995,0,0,0,0
330,635,147636,999,0,0,0,0
331,636,146964,997,1,0,0,0
332,635,146644,999,1,0,0,0
333,637,145813,994,2,0,0,0
334,638,143637,997,0,0,0,0
335,639,143093,998,0,0,0,0
336,575,140949,996,0,0,0,0
337,579,141013,997,1,0,0,0
338,583,140533,996,1,0,0,0
339,585,137621,999,0,0,0,0
340,587,135798,998,1,0,0,0
341,589,134134,995,0,0,0,0
342,589,132982,998,2,0,0,0
343,538,131414,997,1,0,0,0
344,550,130710,991,3,0,0,0
345,552,129686,997,1,0,0,0
346,554,127896,944,2,0,0,0
347,515,124952,911,1,0,0,0
348,534,127286,994,1,0,0,0
349,539,126423,997,1,0,0,0
350,540,125783,995,1,0,0,0
351,544,125879,996,0,0,0,0
352,477,104443,931,2,0,0,0
353,477,104443,931,2,0,0,0
354,477,104443,931,2,0,0,0
355,477,104443,931,2,0,0,0
356,477,104443,931,2,0,0,0
357,477,104443,931,2,0,0,0
358,477,104443,931,2,0,0,0
359,477,104443,931,1,0,0,0
360,477,104443,930,0,0,0,0
361,477,104187,928,2,0,0,0
362,477,104187,927,3,0,0,0
363,477,104187,926,2,0,0,0
364,433,102909,885,0,0,0,0
365,448,102651,938,2,0,0,0
366,452,101086,881,1,0,0,0
367,463,103770,970,0,0,0,0
368,475,103897,996,3,0,0,0
369,480,103577,998,0,0,0,0
370,482,104793,1000,0,0,0,0
371,482,101725,902,0,0,0,0
372,481,103866,964,0,0,0,0
373,422,99462,791,0,0,0,0
374,363,96305,626,1,0,0,0
375,377,96847,652,1,0,0,0
376,400,99852,705,1,0,0,0
377,405,97621,562,1,0,0,0
378,347,96440,507,1,0,0,0
379,364,98772,567,1,0,0,0
380,391,102798,668,1,0,0,0
381,415,106504,753,1,0,0,0
382,435,108930,845,1,0,0,0
383,468,113660,926,1,0,0,0
384,540,126294,999,0,0,0,0
385,540,126294,999,0,0,0,0
386,540,126294,999,0,0,0,0
387,540,126326,1000,0,0,0,0
388,540,126326,1000,0,0,0,0
389,540,126326,999,1,0,0,0
390,540,126326,997,2,0,0,0
391,540,126327,997,3,0,0,0
392,540,126327,997,3,0,0,0
393,540,126551,997,0,0,0,0
394,545,127159,993,2,0,0,0
395,551,129302,999,0,0,0,0
396,554,130678,996,2,0,0,0
397,563,133590,996,1,0,0,0
398,563,133590,996,1,0,0,0
399,567,134038,995,2,0,0,0
400,572,135093,996,2,0,0,0
401,576,135702,994,1,0,0,0
402,581,136757,998,0,0,0,0
403,584,137973,1000,0,0,0,0
404,588,138488,958,0,0,0,0
405,530,135171,780,0,0,0,0
406,439,131598,618,0,0,0,0
407,373,124957,384,0,0,0,0
408,336,123874,314,13,0,0,0
409,367,126686,361,1,0,0,0
410,383,128092,398,1,0,0,0
411,420,131191,470,1,0,0,0
412,430,131352,453,1,0,0,0
413,431,128574,363,1,0,0,0
414,436,130810,426,1,0,0,0
415,445,132183,475,1,0,0,0
416,475,135601,561,1,0,0,0
417,484,136527,586,13,0,0,0
418,497,138604,643,1,0,0,0
419,504,140488,703,1,0,0,0
420,527,142434,782,1,0,0,0
421,545,144158,855,9,0,0,0
422,588,147637,985,0,0,0,0
423,596,148372,997,0,0,0,0
424,599,147828,995,1,0,0,0
425,601,147796,997,0,0,0,0
426,605,148372,998,1,0,0,0
427,606,147636,999,1,0,0,0
428,612,148372,998,2,0,0,0
429,613,148244,997,1,0,0,0
430,614,145432,915,1,0,0,0
431,614,147221,991,0,0,0,0
432,615,147604,996,2,0,0,0
433,616,148052,998,0,0,0,0
434,617,147604,997,0,0,0,0
435,619,146900,996,1,0,0,0
436,619,146132,998,1,0,0,0
437,620,145141,998,0,0,0,0
438,620,145140,998,1,0,0,0
439,621,145013,998,0,0,0,0
440,621,145045,997,2,0,0,0
441,621,145749,997,1,0,0,0
442,622,144693,997,0,0,0,0
443,622,143701,991,0,0,0,0
444,560,139037,863,1,0,0,0
445,560,138236,873,1,0,0,0
446,569,137948,890,1,0,0,0
447,575,137531,907,1,0,0,0
448,580,136888,951,1,0,0,0
449,590,137973,997,0,0,0,0
450,594,137813,995,1,0,0,0
451,595,137365,996,2,0,0,0
452,597,138005,996,1,0,0,0
453,597,136278,996,1,0,0,0
454,597,134422,997,1,0,0,0
455,596,134582,996,2,0,0,0
456,597,130166,997,1,0,0,0
457,598,127030,998,0,0,0,0
458,598,125686,995,1,0,0,0
459,535,122839,997,1,0,0,0
460,536,123063,998,0,0,0,0
461,539,121751,997,0,0,0,0
462,541,121655,995,0,0,0,0
463,542,119703,998,0,0,0,0
464,543,117719,995,1,0,0,0
465,543,117464,996,1,0,0,0
466,544,117304,996,2,0,0,0
467,492,114942,896,0,0,0,0
468,437,109064,746,0,0,0,0
469,367,101653,555,0,0,0,0
470,308,95263,396,0,0,0,0
471,289,93797,310,1,0,0,0
472,305,94211,329,1,0,0,0
473,342,95645,428,1,0,0,0
474,355,96634,478,1,0,0,0
475,379,99444,564,1,0,0,0
476,418,105003,708,1,0,0,0
477,424,106249,743,1,0,0,0
478,453,109697,863,1,0,0,0
479,460,110014,895,1,0,0,0
480,476,111675,940,1,0,0,0
481,477,111453,917,1,0,0,0
482,489,113113,976,1,0,0,0
483,492,113720,999,0,0,0,0
484,499,114776,998,0,0,0,0
485,502,115608,993,3,0,0,0
486,507,115032,994,0,0,0,0
487,507,115704,997,2,0,0,0
488,512,116695,999,0,0,0,0
489,516,116312,992,2,0,0,0
490,516,116184,997,1,0,0,0
491,516,115511,998,0,0,0,0
492,518,116344,997,1,0,0,0
493,520,117208,995,2,0,0,0
494,523,117368,995,1,0,0,0
495,525,118519,998,2,0,0,0
496,540,124215,999,1,0,0,0
497,540,124215,999,1,0,0,0
498,540,124215,999,1,0,0,0
499,540,124215,999,1,0,0,0
500,542,124663,993,2,0,0,0
501,544,125209,944,2,0,0,0
502,548,126359,998,1,0,0,0
503,551,127766,999,0,0,0,0
504,554,128790,996,0,4002,0,0
505,557,130421,991,1,4007,0,0
506,559,130740,983,0,4014,0,0
507,561,130547,983,1,4016,0,0
508,563,131155,975,1,4021,0,0
509,568,132434,973,0,4025,0,0
510,568,131315,927,1,4034,0,0
511,569,132240,940,1,4041,0,0
512,577,134510,952,1,4045,0,0
513,580,135693,947,1,4050,0,0
514,581,136237,943,1,4052,0,0
515,583,135499,932,0,4063,0,0
516,585,136522,927,1,4070,0,0
517,588,137769,924,0,4076,0,0
518,592,138792,917,2,4080,0,0
519,596,138696,893,3,4084,0,0
520,596,139303,882,1,4095,0,0
521,603,140229,894,0,4098,0,0
522,603,137801,788,1,4114,0,0
523,603,138276,824,1,4124,0,0
524,607,141824,873,0,4125,0,0
525,613,140926,862,1,4137,0,0
526,613,139453,850,0,4144,0,0
527,614,139420,841,2,4152,0,0
528,614,139963,835,2,4161,0,0
529,617,140473,831,0,4169,0,0
530,620,141176,820,0,4174,0,0
531,623,141176,817,1,4178,0,0
532,623,140662,808,0,4190,0,0
533,624,141813,806,0,4192,0,0
534,626,140500,790,0,4204,0,0
535,626,140274,781,4,4214,0,0
536,627,139376,770,1,4227,0,0
537,627,138126,762,1,4237,0,0
538,627,136716,747,1,4251,0,0
539,626,136939,743,0,4257,0,0
540,628,137642,735,1,4261,0,0
541,629,136712,723,1,4275,0,0
542,629,135783,714,1,4284,0,0
543,629,134373,701,2,4295,0,0
544,549,131970,686,1,4311,0,0
545,552,130913,671,1,4325,0,0
546,554,128158,654,1,4342,0,0
547,556,126075,633,1,4364,0,0
548,557,125658,627,0,4368,0,0
549,559,124152,620,1,4378,0,0
550,519,122550,605,0,4394,0,0
551,520,121365,598,0,4402,0,0
552,521,117810,573,1,4423,0,0
553,488,115984,559,0,4435,0,0
554,425,106769,442,13,4471,0,0
555,451,105676,460,1,4485,0,0
556,470,105383,501,0,4498,0,0
557,471,102789,486,0,4513,0,0
558,472,97345,456,1,4542,0,0
559,472,96479,447,3,4550,0,0
560,474,94398,435,0,4562,0,0
561,407,86937,403,0,4594,0,0
562,387,82933,381,0,4619,0,0
563,360,75377,345,2,4653,0,0
564,346,74447,339,0,4660,0,0
565,322,68875,312,0,4688,0,0
566,302,62535,281,0,4718,0,0
567,291,57059,252,0,4748,0,0
568,272,53729,233,1,4765,0,0
569,237,45147,196,1,4800,0,0
570,231,42906,187,0,4811,0,0
571,220,38903,166,2,4831,0,0
572,185,30994,134,0,4866,0,0
573,125,19050,79,0,4920,0,0
574,109,13928,55,2,4942,0,0
575,35,512,2,0,4998,0,0
576,31,0,0,0,5000,0,0
